Classificador,Acurácia Média,Desvio Acc,Tempo Médio (ms),Desvio Tempo (ms)
KNN,0.8211428571428572,0.004719813978424313,210.7501261120751,71.78072267550034
SGD,0.7777142857142858,0.0023015325663989813,2.4031594594319663,0.11468822513588363
SVM,0.814857142857143,0.002987502312639643,51.14744290851412,16.56124426730732
Perceptron,0.6897142857142857,0.043194019910273114,2.420476459321521,0.11911567279779653
LDA,0.7363809523809524,0.006300127774682383,2.409173783801851,0.11675278035298545
Tree,0.6946666666666668,0.08241172010082864,2.353196938832601,0.08868219039810313
QDA,0.6399999999999999,0.029118570645939784,4.507075763884044,0.36747421529602436
